Confidence,Angle,Distance
49,52.203125,289.5
49,52.9375,288.0
49,53.6875,286.25
50,54.421875,285.75
50,55.171875,285.75
49,55.90625,283.0
50,56.65625,281.0
50,57.390625,281.0
50,58.15625,278.75
50,58.890625,276.75
50,59.640625,276.5
50,60.375,275.5
51,61.125,274.25
50,61.859375,273.0
50,62.609375,271.75
51,63.34375,271.0
51,64.09375,270.5
51,64.828125,270.75
50,65.578125,270.75
50,66.3125,269.0
50,67.0,267.75
51,67.71875,267.75
51,68.453125,266.75
51,69.171875,266.75
51,69.96875,267.0
52,70.703125,266.0
52,71.453125,266.5
51,72.1875,266.25
51,72.921875,265.25
52,73.65625,265.5
52,74.390625,265.25
51,75.125,264.75
51,75.890625,265.75
52,76.625,265.5
51,77.375,265.5
51,78.109375,266.0
51,78.859375,266.0
51,79.59375,266.0
51,80.34375,265.25
51,81.078125,265.25
51,81.8125,266.0
50,82.546875,265.5
52,83.28125,266.75
50,84.015625,268.25
50,84.71875,267.75
50,85.4375,267.25
50,86.171875,268.0
50,86.890625,269.5
50,87.703125,270.75
51,88.4375,271.5
50,89.1875,271.75
50,89.921875,272.0
50,90.640625,272.5
51,91.375,274.0
50,92.109375,275.25
50,92.84375,275.0
49,93.59375,275.75
50,94.328125,276.75
50,95.0625,278.25
49,95.796875,280.5
49,96.5625,281.0
48,97.296875,282.0
50,98.046875,284.5
50,98.78125,285.5
48,99.515625,286.0
48,100.25,287.5
48,100.984375,289.5
47,101.71875,293.0
47,102.4375,294.25
47,103.15625,295.5
47,103.890625,298.5
46,104.609375,300.0
47,105.40625,302.75
46,106.140625,306.0
45,106.890625,309.0
46,107.625,312.5
46,108.34375,315.0
45,109.078125,318.5
45,109.8125,321.75
45,110.546875,325.0
44,111.3125,328.25
43,112.046875,330.25
43,112.796875,334.25
42,113.53125,339.0
41,114.265625,341.75
42,115.0,346.0
41,115.734375,351.5
40,116.46875,355.5
40,117.203125,360.0
39,117.9375,364.25
38,118.671875,369.0
39,119.40625,375.75
37,120.1875,381.75
36,120.921875,386.5
35,121.671875,393.0
36,122.40625,400.75
34,123.140625,407.5
35,123.875,414.25
36,124.609375,422.25
35,125.34375,429.0
40,126.09375,425.25
51,126.828125,423.5
43,127.5625,428.25
41,128.296875,428.0
42,129.046875,426.25
42,129.78125,421.75
41,130.515625,417.5
41,131.25,414.25
41,132.0,410.25
42,132.734375,407.5
43,133.46875,406.0
42,134.203125,402.0
42,134.953125,398.0
42,135.6875,395.5
43,136.421875,392.25
43,137.15625,389.75
44,137.953125,387.75
43,138.703125,385.75
45,139.453125,384.25
44,140.203125,382.5
44,140.90625,380.5
45,141.640625,378.75
46,142.375,377.0
45,143.109375,375.75
45,143.859375,374.0
46,144.59375,373.0
45,145.328125,371.0
46,146.0625,369.0
46,146.828125,368.0
47,147.5625,366.5
47,148.3125,365.75
47,149.046875,364.5
47,149.78125,363.5
48,150.515625,362.5
47,151.25,362.25
48,151.984375,361.5
48,152.75,360.0
48,153.484375,359.0
48,154.234375,358.0
48,154.96875,358.5
48,155.640625,358.25
48,156.359375,356.5
49,157.078125,357.0
48,157.796875,356.75
49,158.578125,355.5
48,159.3125,355.75
48,160.046875,356.0
49,160.78125,356.25
49,161.5625,356.0
49,162.296875,356.25
48,163.046875,356.5
49,163.78125,357.5
49,164.46875,358.75
48,165.1875,358.0
48,165.921875,357.5
48,166.640625,358.0
48,167.40625,358.75
48,168.140625,359.25
44,168.875,359.5
13,169.609375,360.5
9,171.828125,13663.0
47,173.328125,364.75
47,174.0625,366.75
46,174.8125,367.25
45,175.546875,368.5
46,176.265625,368.25
46,177.0,369.25
47,177.734375,372.5
46,178.46875,373.5
46,179.21875,374.25
45,179.953125,376.25
44,180.6875,376.75
44,181.421875,377.25
45,182.15625,379.75
44,182.890625,381.25
45,183.625,383.0
44,184.359375,385.75
43,185.109375,386.75
44,185.84375,388.25
43,186.578125,390.75
43,187.3125,393.0
42,188.0625,395.0
39,188.796875,397.0
42,189.53125,402.0
40,190.265625,405.75
40,191.0,408.5
40,191.734375,411.5
39,192.46875,413.5
40,193.203125,417.5
39,193.953125,421.25
37,194.6875,424.25
37,195.421875,428.0
37,196.15625,432.25
37,196.890625,435.75
36,197.625,438.75
35,198.359375,443.25
34,199.09375,448.75
34,199.84375,454.25
33,200.578125,458.75
33,201.3125,464.0
32,202.046875,468.75
32,202.78125,476.0
32,203.515625,481.75
31,204.25,485.25
30,204.984375,492.0
30,205.734375,501.0
31,206.46875,510.0
33,207.203125,516.75
17,207.9375,515.5
45,208.6875,511.75
35,209.421875,513.75
34,210.15625,511.75
33,210.890625,505.5
33,211.640625,498.75
33,212.375,491.25
33,213.109375,484.75
34,213.84375,480.25
