Confidence,Angle,Distance
47,46.71875,234.5
46,47.359375,235.0
46,48.0,236.5
46,49.53125,241.0
46,50.21875,244.0
45,51.40625,250.0
46,52.046875,252.5
45,53.328125,258.5
46,54.0,262.5
46,55.296875,269.0
44,56.5625,274.0
44,57.203125,277.5
43,58.484375,286.5
43,59.140625,289.5
43,60.421875,298.0
42,61.0625,303.0
40,62.375,312.0
40,63.03125,318.0
38,64.296875,326.5
37,65.578125,339.5
36,66.21875,345.5
34,67.59375,359.5
34,68.25,367.5
37,69.515625,384.5
40,70.15625,389.5
49,71.4375,400.5
44,72.109375,399.5
43,73.40625,404.0
44,74.046875,405.0
42,75.34375,407.5
43,76.0,410.5
41,77.28125,414.0
41,78.5625,419.5
41,79.203125,421.0
40,80.5,427.0
39,81.140625,427.5
39,82.453125,434.0
40,83.09375,436.0
38,84.390625,442.5
37,85.109375,446.0
36,86.4375,453.0
36,87.09375,456.5
36,88.34375,462.5
35,89.0,467.0
34,90.296875,475.0
32,91.59375,483.0
33,92.234375,489.5
31,93.53125,496.0
31,94.1875,503.0
30,95.484375,510.5
29,96.125,515.0
28,97.421875,525.0
27,98.078125,531.0
26,99.375,543.0
24,100.015625,548.0
6,101.4375,558.5
33,103.359375,570.0
33,104.0,571.0
30,105.296875,571.0
32,106.59375,574.0
30,107.25,574.0
29,108.5625,575.5
28,109.203125,576.0
28,110.5,579.5
28,111.171875,581.5
28,112.46875,584.5
27,113.109375,586.0
27,114.40625,591.5
26,115.0625,594.5
26,116.375,601.5
26,117.015625,604.5
26,118.3125,610.0
25,119.09375,610.0
25,120.453125,618.0
24,121.125,622.0
23,122.375,626.0
23,123.03125,630.5
23,124.34375,635.5
22,125.0,639.5
21,126.3125,647.5
21,127.625,657.5
21,128.28125,661.5
20,129.578125,669.0
20,130.21875,674.5
19,131.515625,686.0
20,132.203125,691.0
45,134.171875,295.0
47,135.484375,289.5
46,136.140625,286.0
47,137.578125,283.0
47,138.265625,281.5
49,139.640625,276.0
48,140.21875,274.0
48,141.53125,269.0
49,142.1875,267.0
49,143.515625,263.5
49,144.171875,262.0
49,145.484375,257.0
49,146.140625,255.0
49,147.453125,253.5
50,148.140625,250.5
50,149.46875,247.0
50,150.125,248.0
50,151.421875,245.5
50,152.078125,245.5
50,153.40625,243.0
51,154.0625,242.5
51,155.375,241.5
51,156.078125,241.0
51,157.40625,238.5
51,158.0625,238.0
51,159.359375,236.5
51,160.015625,235.0
52,161.328125,233.5
52,162.640625,232.5
52,163.296875,231.0
52,164.640625,231.5
52,165.3125,230.0
53,166.609375,230.5
52,167.265625,229.5
52,168.578125,227.5
52,169.265625,226.5
52,170.59375,227.5
52,171.25,226.5
52,172.546875,226.5
52,173.203125,226.0
52,174.671875,226.5
52,175.359375,227.0
52,176.0625,228.0
52,177.3125,228.0
52,178.625,226.5
52,179.28125,227.0
51,180.640625,230.0
51,181.3125,231.0
52,182.625,231.5
51,183.28125,232.0
52,184.59375,232.0
51,185.328125,233.0
51,186.0,233.5
51,187.34375,234.5
51,188.578125,237.0
51,189.234375,237.0
51,190.703125,238.0
50,191.390625,239.0
51,192.078125,239.5
50,193.359375,241.0
51,194.015625,242.0
50,195.34375,244.5
51,196.015625,245.0
50,197.34375,249.0
50,198.0,249.0
50,199.375,252.0
50,200.046875,252.5
50,201.359375,257.0
51,202.015625,259.5
56,203.34375,260.0
57,204.046875,258.0
50,205.390625,251.5
44,208.03125,225.0
43,209.515625,215.0
42,210.21875,210.5
42,211.625,202.5
41,212.171875,198.5
42,213.5,191.0
42,214.15625,189.5
41,216.171875,180.0
42,217.546875,177.5
42,218.21875,175.5
42,219.5625,172.0
41,220.234375,168.5
42,221.578125,165.0
42,222.25,163.5
42,223.5625,160.0
42,224.234375,157.5
42,225.59375,154.0
42,226.265625,153.0
42,227.609375,150.5
41,228.25,149.5
41,229.578125,145.5
41,230.234375,145.0
41,231.609375,142.0
40,232.28125,141.0
40,233.625,139.5
40,234.296875,138.0
