Confidence,Angle,Distance
46,68.59375,187.5
46,69.21875,185.0
46,70.484375,184.5
47,71.109375,183.5
46,72.359375,182.0
46,73.578125,179.0
46,74.203125,178.0
47,75.484375,177.0
46,76.109375,175.5
46,77.359375,173.0
47,78.0,173.0
47,79.25,171.0
47,80.5,172.0
47,81.125,171.0
47,82.375,171.0
47,83.046875,171.0
47,84.3125,168.0
47,85.546875,165.0
48,86.171875,165.5
46,87.421875,165.0
47,88.0625,164.0
47,89.3125,163.5
47,90.578125,162.0
47,91.203125,161.0
47,92.453125,162.0
47,93.078125,161.5
48,94.328125,160.5
47,95.609375,160.5
49,96.234375,161.0
48,97.5,163.0
48,98.125,161.5
48,99.375,160.0
49,100.0,159.5
49,101.296875,161.5
48,102.5625,161.5
49,103.203125,162.0
47,104.46875,162.0
48,105.09375,161.5
48,106.328125,161.0
48,107.578125,161.5
48,108.234375,162.0
48,109.5,163.0
47,110.125,163.0
47,111.390625,164.5
47,112.03125,165.0
48,113.265625,167.5
47,114.515625,166.5
47,115.140625,168.0
47,116.421875,169.0
47,117.0625,169.0
47,118.296875,171.0
46,119.546875,170.5
47,120.171875,171.5
47,121.546875,172.5
47,122.203125,173.0
47,123.453125,176.5
47,124.078125,178.5
46,125.34375,179.0
46,126.59375,182.0
46,127.21875,183.0
46,128.5,183.5
45,129.125,184.0
47,130.390625,187.5
48,131.046875,189.5
46,132.3125,190.0
45,133.5625,192.0
46,134.1875,194.0
46,135.4375,197.5
47,136.09375,199.0
46,137.359375,202.0
47,138.71875,205.0
48,139.375,208.0
45,140.03125,209.5
44,141.25,213.0
44,142.515625,217.5
43,143.140625,219.5
44,144.421875,225.0
44,145.0625,229.5
43,146.328125,235.0
43,147.59375,241.5
44,148.21875,247.25
42,149.5,253.25
42,150.140625,256.25
42,151.421875,264.5
42,152.046875,269.0
41,153.3125,279.0
39,154.578125,287.0
39,155.84375,301.0
39,156.484375,307.5
39,157.109375,315.5
36,159.015625,338.5
37,160.28125,357.0
39,161.546875,374.0
41,162.171875,384.0
49,163.4375,393.5
56,164.09375,393.0
47,165.359375,387.0
43,166.625,372.0
41,167.25,363.0
42,168.515625,346.0
42,169.171875,339.5
43,170.4375,326.5
43,171.0625,321.0
43,172.328125,311.0
