Confidence,Angle,Distance
51,77.4375,232.5
52,78.1875,233.0
50,79.703125,232.0
50,80.453125,232.0
50,81.234375,232.5
51,82.75,236.0
51,83.5,236.0
50,84.3125,235.0
50,85.078125,235.0
50,86.609375,238.0
51,87.375,238.5
50,88.140625,238.5
50,89.671875,240.0
50,90.421875,241.0
50,91.171875,242.5
49,92.6875,243.5
49,93.484375,244.5
49,94.25,245.5
49,95.015625,247.0
49,96.546875,250.0
49,97.3125,251.5
48,98.078125,252.5
48,99.59375,256.5
48,100.34375,257.5
48,101.109375,260.0
48,102.703125,260.75
48,103.46875,264.5
47,104.25,266.5
47,105.015625,267.5
48,106.5625,274.0
47,107.34375,276.0
48,108.109375,278.75
47,109.59375,285.5
47,110.359375,289.5
46,111.109375,291.5
46,112.671875,298.5
46,113.4375,303.5
46,114.203125,307.0
47,115.734375,315.0
50,116.5,317.5
56,117.265625,318.5
55,118.03125,315.0
47,119.5625,309.5
46,120.328125,302.0
46,121.203125,295.0
45,122.78125,285.0
45,123.5625,278.5
45,124.28125,273.0
46,125.046875,269.0
46,126.578125,262.0
46,127.359375,259.5
47,128.125,257.0
46,129.65625,251.0
47,130.4375,247.5
47,131.203125,245.0
47,132.734375,241.0
48,133.53125,239.0
48,134.296875,236.5
48,135.078125,234.0
48,136.703125,229.0
48,137.484375,227.0
48,138.28125,225.5
47,139.0625,223.5
42,187.125,204.0
28,218.484375,399.5
25,220.046875,424.5
21,51.171875,587.0
