Confidence,Angle,Distance
18,155.859375,624.5
17,156.578125,636.5
16,157.296875,647.5
15,158.015625,659.0
16,159.453125,689.0
16,160.171875,708.0
45,163.765625,818.0
39,164.484375,816.0
24,165.203125,803.5
17,167.328125,729.0
17,168.046875,710.0
18,169.5,680.5
19,170.21875,667.0
20,171.65625,640.0
19,172.375,630.0
20,173.09375,621.5
22,174.53125,608.0
23,175.359375,600.0
23,176.09375,591.5
25,177.578125,573.5
31,178.25,566.0
47,180.40625,240.5
50,181.125,242.0
51,182.5625,239.0
51,183.28125,239.0
51,184.0,239.0
51,185.4375,240.0
52,186.15625,240.75
52,187.625,240.75
52,188.359375,242.0
51,189.078125,243.0
51,190.5,243.0
51,191.21875,244.5
51,192.78125,245.5
51,193.53125,246.0
51,194.28125,247.0
51,195.03125,247.5
50,196.390625,249.5
50,197.109375,250.0
50,198.578125,252.0
51,199.296875,252.5
50,200.03125,255.0
50,201.46875,255.5
49,202.1875,256.5
50,203.625,262.0
49,204.375,263.5
48,205.09375,263.0
50,206.546875,267.0
49,207.28125,269.5
49,208.0,271.0
48,209.453125,275.0
48,210.296875,276.5
48,211.046875,279.0
49,212.546875,284.0
48,213.203125,285.0
47,214.65625,291.5
47,215.375,294.0
47,216.109375,296.0
47,217.5625,303.0
45,218.28125,304.0
45,219.03125,306.5
45,220.484375,314.0
43,221.203125,316.5
43,222.65625,324.5
42,223.390625,328.0
43,224.109375,333.0
41,225.609375,341.0
42,226.34375,346.0
41,227.078125,350.5
40,228.484375,360.5
40,229.203125,366.0
39,230.671875,377.5
39,231.390625,383.0
44,232.84375,400.0
51,233.578125,399.5
54,234.296875,395.5
49,235.03125,396.0
45,236.5,392.0
44,237.21875,386.0
44,238.671875,380.0
45,239.40625,376.0
44,240.125,372.0
45,241.578125,367.5
45,242.3125,364.0
46,243.03125,362.0
47,244.484375,359.5
46,245.296875,355.5
47,246.03125,353.0
48,247.515625,348.5
48,248.234375,347.5
48,249.703125,344.5
47,250.4375,342.0
48,251.140625,340.5
49,252.59375,341.0
48,253.3125,339.0
48,254.0625,335.5
48,255.515625,333.5
49,256.234375,332.5
50,257.703125,331.5
49,258.4375,329.5
49,259.15625,328.0
50,260.625,329.0
50,261.359375,329.5
49,262.078125,327.5
50,263.625,326.0
49,264.375,325.0
50,265.109375,325.0
50,266.59375,325.5
50,267.34375,324.0
50,268.078125,323.5
51,269.46875,323.0
50,270.1875,323.5
50,271.671875,324.0
51,272.390625,324.5
49,273.125,324.5
50,274.625,325.0
49,275.359375,325.0
50,276.09375,326.5
49,277.546875,326.5
50,278.265625,327.5
50,279.0,329.5
49,280.484375,331.0
49,281.21875,331.5
50,282.6875,334.5
48,283.484375,335.0
48,284.234375,335.5
47,285.734375,337.5
47,286.421875,339.0
47,287.15625,340.0
47,288.625,344.0
47,289.359375,345.5
47,290.09375,348.0
46,291.5625,350.5
46,292.3125,352.0
46,293.046875,355.0
46,294.515625,359.0
45,295.25,361.0
44,296.71875,366.0
44,297.453125,367.5
44,298.1875,370.5
43,299.65625,375.0
42,300.390625,378.0
42,301.234375,380.5
41,302.75,386.0
42,303.5,391.0
41,304.1875,394.5
39,305.65625,400.5
38,306.390625,404.5
38,307.15625,409.0
37,308.640625,419.0
37,309.375,422.5
37,310.109375,427.5
35,311.578125,438.5
35,312.3125,443.0
33,313.0625,448.5
35,314.53125,463.5
34,315.265625,471.5
34,316.03125,478.5
37,317.515625,497.0
40,318.25,505.5
45,319.078125,510.5
48,320.59375,498.5
38,323.53125,202.0
41,325.0,177.5
40,326.46875,172.5
40,327.203125,169.5
41,328.703125,165.5
40,329.453125,163.0
41,330.1875,160.5
40,331.65625,155.5
40,332.390625,154.0
39,333.125,151.0
40,334.640625,146.5
39,335.390625,144.0
40,336.125,144.5
40,337.65625,139.0
40,338.40625,139.5
39,339.15625,138.0
40,340.59375,135.5
39,342.0625,131.0
40,343.578125,130.5
40,344.328125,132.0
41,345.0625,131.0
39,346.546875,127.5
39,347.296875,125.5
40,348.03125,124.0
39,349.53125,123.0
40,350.28125,122.0
40,351.015625,122.0
40,352.484375,121.0
40,353.21875,120.5
41,354.734375,119.5
40,355.46875,118.0
41,356.21875,116.5
40,357.703125,114.0
40,358.4375,114.5
40,359.1875,115.5
41,0.6875,116.5
40,1.421875,115.0
41,2.171875,114.5
41,3.640625,114.0
40,4.375,114.0
41,5.109375,114.5
41,6.625,111.0
41,7.359375,112.0
41,8.109375,112.0
41,9.59375,115.0
41,10.328125,113.5
42,11.078125,114.0
42,12.828125,114.0
42,13.625,114.0
43,14.4375,115.5
41,15.84375,112.5
42,16.59375,114.5
43,17.34375,115.0
42,18.09375,114.5
42,19.5625,114.5
42,20.3125,114.5
42,21.046875,115.5
42,22.59375,115.0
43,23.34375,117.0
41,24.859375,113.5
41,25.609375,114.0
40,26.359375,115.0
40,27.109375,116.0
39,28.625,114.5
39,29.375,114.5
39,30.125,116.0
38,31.46875,116.5
38,32.1875,116.5
38,34.5,118.0
38,35.25,118.0
39,36.0,118.0
38,37.453125,119.5
38,38.203125,119.0
37,40.46875,122.5
38,41.21875,123.0
37,42.71875,126.5
38,43.46875,127.0
38,44.21875,127.5
38,45.703125,130.0
39,46.4375,132.0
38,47.1875,134.0
39,48.875,135.0
39,50.453125,140.5
39,51.234375,140.5
39,52.59375,143.0
40,54.078125,151.5
40,55.640625,154.0
41,56.40625,155.5
41,57.15625,159.5
41,58.65625,164.0
40,59.40625,167.0
41,60.15625,170.0
41,61.65625,174.5
41,62.40625,176.5
41,63.15625,179.5
45,64.6875,189.5
45,65.453125,193.25
47,66.203125,196.75
48,67.703125,201.0
52,68.453125,205.0
52,69.203125,204.5
50,70.734375,204.0
50,71.5,205.0
50,72.25,206.0
50,73.0,206.0
50,74.5,208.5
50,75.25,210.0
50,76.03125,210.0
49,77.546875,210.0
49,78.296875,211.5
49,79.03125,212.5
49,80.53125,215.0
48,81.28125,216.5
49,82.0625,217.5
48,83.578125,220.5
49,84.328125,221.5
48,85.109375,222.5
48,86.625,224.5
48,87.375,226.0
48,88.125,229.5
48,89.625,232.5
48,90.375,235.0
48,91.171875,237.0
47,92.6875,241.5
48,93.4375,244.0
48,94.171875,246.5
47,95.671875,249.0
47,96.421875,252.5
46,97.21875,255.5
46,98.734375,261.5
46,99.484375,264.0
46,100.234375,266.0
45,101.734375,273.5
45,102.484375,277.0
46,103.3125,279.5
45,104.078125,284.0
44,105.609375,291.0
43,106.359375,296.0
43,107.109375,298.5
41,108.625,310.5
42,109.390625,315.0
41,110.140625,320.5
40,111.65625,331.5
38,112.421875,336.5
39,113.171875,343.0
36,114.6875,356.5
35,115.453125,363.0
33,116.203125,370.0
5,117.71875,386.5
16,118.484375,393.0
44,119.234375,395.5
45,120.0,397.5
43,121.59375,399.5
44,122.359375,400.5
42,123.140625,404.0
43,124.640625,409.0
42,125.390625,411.0
41,126.15625,413.5
40,127.6875,421.0
40,128.4375,422.5
39,129.203125,424.0
38,130.734375,428.5
38,131.484375,432.5
37,132.25,438.0
38,133.0,442.0
35,134.578125,448.5
36,135.34375,454.0
35,136.109375,458.0
35,137.71875,464.5
34,138.5,469.0
33,139.28125,474.5
32,140.734375,484.0
31,141.5,490.0
31,142.25,497.0
30,143.046875,502.0
28,144.578125,513.5
27,145.34375,519.5
27,146.109375,526.0
24,147.640625,536.0
24,148.40625,544.5
24,149.15625,553.0
23,150.671875,564.5
21,151.421875,574.5
21,152.21875,583.5
20,153.75,600.5
21,154.515625,610.0
19,162.15625,764.5
39,341.046875,133.0
39,33.453125,116.0
38,39.78125,123.0
38,49.40625,138.0
39,53.25,148.0
17,161.84375,753.5
45,179.859375,245.75
18,166.609375,752.25
37,321.0,489.25
41,324.96875,181.75
