Confidence,Angle,Distance
28,25.515625,639.0
28,26.28125,638.0
28,27.015625,635.5
27,28.5,637.0
27,29.125,635.5
27,30.546875,636.5
28,31.25,638.0
28,32.0625,639.5
30,33.53125,640.0
29,34.265625,642.0
37,35.0,645.5
25,36.46875,637.0
23,37.203125,627.5
24,38.671875,611.5
24,39.40625,606.5
25,40.140625,600.0
25,41.609375,591.0
27,42.34375,582.5
27,43.078125,577.0
28,44.546875,565.5
29,45.28125,560.5
29,46.015625,555.5
30,47.71875,548.5
31,48.5,544.5
32,49.28125,540.5
32,50.640625,534.0
33,51.390625,530.5
36,52.125,528.0
34,53.59375,519.0
34,54.328125,517.5
34,55.0625,514.0
35,56.5625,506.5
35,57.3125,504.5
35,58.046875,503.5
37,59.515625,495.5
36,60.25,492.5
38,61.75,491.0
38,62.484375,487.5
37,63.234375,486.5
39,64.734375,483.0
38,65.46875,478.5
38,66.21875,473.0
39,67.703125,471.0
40,68.4375,466.5
40,69.1875,464.0
41,70.6875,461.5
41,71.421875,459.0
40,72.171875,458.0
42,73.640625,456.0
42,74.375,454.0
43,75.109375,452.5
43,76.625,448.5
44,77.359375,447.5
44,78.109375,448.0
44,79.59375,445.5
44,80.328125,445.5
30,107.96875,371.5
42,156.1875,136.5
41,161.453125,131.0
42,182.65625,129.0
42,197.15625,137.5
47,263.5,137.0
54,268.125,138.25
44,282.703125,137.0
7,316.296875,204.5
32,108.8125,360.0
29,106.609375,402.5
