Confidence,Angle,Distance
44,185.703125,388.5
44,186.40625,390.0
43,187.109375,391.0
43,187.8125,393.25
40,188.515625,396.0
41,189.21875,399.5
40,189.921875,402.75
40,190.640625,406.25
40,191.34375,410.5
38,192.046875,413.5
40,192.75,416.5
38,193.46875,418.75
38,194.171875,421.25
38,194.875,425.75
38,195.578125,430.25
37,196.28125,434.0
37,196.984375,438.0
36,197.6875,442.25
35,198.390625,446.25
35,199.109375,450.75
34,199.8125,454.75
34,200.515625,459.75
33,201.21875,464.75
33,201.921875,468.0
33,202.625,473.25
31,203.328125,480.0
32,204.03125,484.25
31,204.75,489.25
31,205.453125,497.25
32,206.15625,505.5
33,206.859375,513.25
22,207.5625,514.0
38,208.265625,510.75
39,208.96875,511.25
34,209.671875,512.5
34,210.4375,510.25
33,211.15625,501.75
33,211.875,494.0
33,212.59375,488.75
34,213.25,484.25
34,213.953125,479.25
34,214.65625,472.5
35,215.359375,468.25
35,216.078125,463.25
37,216.78125,459.75
36,217.484375,456.75
36,218.1875,451.5
37,218.90625,448.0
37,219.609375,444.25
38,220.3125,438.75
38,221.015625,434.0
39,221.734375,431.0
40,222.4375,429.0
39,223.140625,427.0
41,223.84375,424.25
40,224.609375,420.75
41,225.328125,416.75
41,226.046875,414.0
41,226.765625,412.5
41,227.3125,409.75
41,227.984375,406.5
41,228.65625,404.5
43,229.328125,402.25
43,230.125,399.0
43,230.828125,396.25
43,231.53125,393.75
44,232.234375,392.5
43,232.921875,391.75
45,233.609375,390.0
45,234.3125,388.5
45,235.0,387.75
45,235.734375,385.5
45,236.4375,383.75
45,237.140625,383.5
46,237.84375,382.5
46,238.546875,381.5
47,239.25,379.75
46,239.953125,377.25
47,240.65625,376.5
46,241.359375,376.0
47,242.0625,375.0
41,242.765625,373.75
18,243.46875,369.5
41,245.59375,375.75
45,246.296875,370.75
48,247.0,368.75
51,247.703125,367.5
47,248.40625,366.5
48,249.109375,366.5
48,249.796875,366.0
48,250.484375,365.0
48,251.1875,364.5
48,251.875,364.0
51,252.609375,364.25
55,253.3125,361.0
56,254.015625,360.25
