Confidence,Angle,Distance
52,90.203125,233.5
53,91.515625,234.0
52,92.171875,233.5
53,93.484375,235.5
52,94.140625,235.5
52,95.421875,235.5
52,96.078125,235.0
52,97.421875,237.0
51,98.078125,236.0
52,99.390625,239.0
51,100.03125,239.5
51,101.328125,241.0
51,102.75,242.0
52,103.421875,242.5
51,104.109375,243.0
51,105.390625,245.0
51,106.046875,244.5
51,107.359375,248.5
51,108.015625,250.0
51,109.328125,250.0
50,110.671875,254.0
51,111.328125,254.5
50,112.0,254.0
50,113.296875,257.5
50,114.609375,261.5
51,115.265625,264.0
50,116.578125,265.0
50,117.234375,268.0
48,118.671875,270.0
49,119.359375,271.0
49,120.046875,274.0
48,121.3125,277.5
48,122.625,282.0
48,123.28125,285.0
47,124.609375,289.5
47,125.265625,291.5
46,126.609375,299.5
46,127.265625,300.5
46,128.59375,304.0
45,129.25,308.0
44,130.5625,315.0
44,131.21875,318.0
43,132.5625,329.5
43,133.234375,332.0
41,134.546875,339.5
41,135.203125,343.5
40,136.515625,352.0
40,137.3125,358.0
39,138.0,364.0
37,139.375,374.5
35,140.640625,384.0
35,141.3125,389.5
33,142.65625,405.5
32,143.3125,410.0
30,144.640625,422.5
28,145.3125,429.5
27,146.640625,449.0
25,147.296875,458.5
25,148.640625,474.5
18,149.96875,507.0
17,150.640625,521.5
16,151.296875,536.0
14,152.625,570.0
13,153.96875,602.5
34,157.96875,775.0
21,158.65625,778.5
19,159.3125,777.5
18,160.640625,786.5
17,161.3125,792.5
18,162.640625,804.5
17,163.296875,811.0
17,164.640625,829.5
16,165.3125,835.5
17,166.640625,852.5
17,167.296875,861.5
16,168.625,881.0
16,169.3125,891.0
16,170.640625,914.0
15,171.296875,925.5
22,172.640625,955.0
26,173.3125,970.0
26,174.75,990.0
22,175.4375,985.0
19,176.125,981.5
18,177.4375,980.5
19,178.109375,982.5
18,179.453125,985.5
18,180.109375,986.5
18,181.4375,992.5
17,182.09375,996.0
17,183.46875,1003.5
17,184.140625,1008.0
18,185.46875,1017.0
18,186.125,1022.0
17,187.453125,1025.0
18,188.15625,1029.5
17,189.5,1035.5
17,190.171875,1040.5
18,191.609375,1048.0
17,192.296875,1049.5
18,193.609375,1053.0
18,194.28125,1056.0
18,195.625,1064.5
17,196.28125,1067.5
17,197.609375,1075.5
17,198.265625,1081.5
17,199.65625,1089.5
17,200.328125,1094.5
17,201.0,1100.0
18,202.34375,1112.0
17,203.015625,1117.5
18,204.375,1132.5
19,205.046875,1139.5
22,206.390625,1158.0
41,207.0625,1168.0
25,209.859375,471.5
27,210.546875,462.0
28,211.25,452.5
30,212.5625,434.0
32,213.234375,426.0
33,214.578125,409.5
34,215.265625,402.0
36,216.609375,389.0
36,217.28125,382.5
38,218.640625,371.5
40,219.3125,366.5
40,220.671875,355.5
40,221.34375,349.0
41,222.015625,343.5
42,223.375,336.5
42,224.046875,331.5
44,225.390625,324.0
44,226.078125,319.5
44,227.421875,311.0
45,228.09375,308.0
46,229.40625,302.0
46,230.078125,300.0
46,231.453125,292.5
46,232.125,289.5
47,233.46875,284.5
47,234.171875,281.5
48,235.53125,276.5
48,236.203125,273.5
50,237.53125,271.5
50,238.203125,272.0
49,239.546875,266.5
50,240.21875,264.5
50,241.5625,263.5
49,242.265625,265.0
38,243.625,271.5
37,244.296875,278.5
36,245.703125,297.5
34,246.390625,307.0
33,247.078125,316.5
31,248.390625,336.0
28,249.734375,361.0
14,256.515625,556.5
15,258.5625,643.0
33,261.265625,846.5
33,262.609375,850.0
28,263.28125,850.0
27,264.03125,847.5
27,265.40625,843.0
26,266.09375,842.0
25,267.421875,839.5
24,268.109375,838.5
24,269.453125,838.5
25,270.125,837.5
25,271.46875,839.0
25,272.171875,840.0
24,273.53125,838.5
24,274.203125,840.0
23,275.5625,841.0
23,276.25,843.5
23,277.609375,845.0
23,278.28125,845.5
22,279.640625,847.5
23,280.3125,851.0
21,281.65625,855.0
22,282.328125,857.0
22,283.078125,858.5
21,284.453125,862.0
21,285.140625,865.5
20,286.546875,870.0
20,287.25,873.5
20,288.546875,879.0
20,289.21875,882.5
19,290.5625,890.0
19,291.265625,895.0
18,292.625,901.5
18,293.296875,907.0
18,294.65625,918.5
18,295.34375,924.0
18,296.015625,927.5
19,297.390625,940.5
19,298.078125,947.5
27,299.53125,965.5
43,300.234375,972.0
9,302.234375,918.0
9,303.578125,875.0
8,304.25,857.0
9,305.640625,832.0
9,306.328125,820.0
8,307.0,804.5
8,308.40625,782.0
8,309.09375,769.5
8,310.453125,748.0
8,311.125,740.0
7,312.484375,724.5
7,313.1875,718.5
7,314.546875,707.0
7,315.21875,704.0
7,316.59375,694.0
7,317.28125,689.0
6,318.71875,668.5
7,319.40625,662.0
6,320.109375,657.5
7,322.125,640.5
8,323.484375,626.0
8,324.203125,616.5
8,325.578125,609.0
8,326.265625,605.0
9,327.640625,603.5
8,328.328125,593.5
9,329.015625,586.5
9,330.359375,572.5
10,331.046875,566.5
24,332.4375,565.0
28,333.125,557.0
31,334.5,551.5
43,335.203125,551.0
22,337.265625,512.5
23,338.640625,485.0
26,339.328125,473.5
25,340.015625,462.5
28,341.359375,442.0
29,342.046875,432.0
32,343.4375,419.0
32,344.125,412.0
34,345.5,397.0
35,346.1875,389.0
36,347.5625,378.0
37,348.25,373.0
38,349.625,361.0
38,350.3125,356.0
39,351.0,351.0
40,352.34375,341.5
41,353.03125,336.5
42,354.484375,328.5
41,355.1875,323.5
44,356.59375,317.5
43,357.875,306.0
43,358.5625,303.0
